,carbon,variable,value
0,glucose,0,1321.9479068338403
1,sucrose,0,402.8537332786847
2,galactose,0,3783.5499191872827
4,glycerol,0,6038.761513080707
5,ethanol,0,5655.695463290296
12,glucose,1,492.61712979871334
13,sucrose,1,3334.531164420123
14,galactose,1,6623.380338485245
16,glycerol,1,4028.526420444362
17,ethanol,1,5736.191859245901
24,glucose,2,1023.9036563852889
25,sucrose,2,1678.466281933776
26,galactose,2,3604.1544455649614
28,glycerol,2,6090.924759460336
29,ethanol,2,4923.427168883047
36,glucose,3,1060.2460126847227
37,sucrose,3,1114.2036254720576
38,galactose,3,3313.7890228118326
40,glycerol,3,6645.5072880817615
41,ethanol,3,3476.7638977265196
0,glucose,0,578.6783378571922
1,sucrose,0,4654.604866592707
2,galactose,0,1754.9450303619174
4,glycerol,0,9157.08209218309
5,ethanol,0,3675.1582014695214
12,glucose,1,988.1140226106825
13,sucrose,1,1321.1626941454394
14,galactose,1,2805.5042182361863
16,glycerol,1,7957.849730152419
17,ethanol,1,2762.764291645586
24,glucose,2,566.6790483436783
25,sucrose,2,-903.1361894879756
26,galactose,2,2518.0083838669584
28,glycerol,2,4324.339518845336
29,ethanol,2,2855.923881436645
36,glucose,3,1741.51276449796
37,sucrose,3,2237.8432117340053
38,galactose,3,3107.7686254883133
40,glycerol,3,1684.603536203303
41,ethanol,3,4957.2683151564215
0,glucose,0,58.9188726178757
1,sucrose,0,74.29047715047619
2,galactose,0,1772.2637137552063
4,glycerol,0,7117.710032138865
5,ethanol,0,3255.9777688486256
12,glucose,1,1653.069061237934
13,sucrose,1,1752.917811449945
14,galactose,1,3695.879818420298
16,glycerol,1,7981.556994591214
17,ethanol,1,5828.870455709846
24,glucose,2,563.2080996957209
25,sucrose,2,-1357.089925993756
26,galactose,2,3110.7726270427465
28,glycerol,2,9957.632462094742
29,ethanol,2,3108.9733448929455
36,glucose,3,1454.8660882827091
37,sucrose,3,2043.046913998583
38,galactose,3,2537.793722265313
40,glycerol,3,4994.790816810835
41,ethanol,3,3019.8615776227825
